iter	RMSE
0	0.6963987464
1	0.6635680248
2	0.63081354
3	0.6015463372
4	0.5752826541
5	0.5511803947
6	0.5289932213
7	0.5120660575
8	0.4954729723
9	0.4802034645
10	0.4678874332
11	0.4579135542
12	0.4461796763
13	0.4372550109
14	0.427895732
15	0.4200724009
16	0.4122511299
17	0.4072508369
18	0.4014089703
19	0.3957618423
20	0.3912967811
21	0.3870539316
22	0.3826590611
23	0.3782578095
24	0.3743708697
25	0.3708280057
26	0.3676886915
27	0.3651793696
28	0.3633301089
29	0.3613097771
30	0.3584736483
31	0.3554306438
32	0.3523969996
33	0.3502820631
34	0.3485454391
35	0.3453640996
36	0.3434058111
37	0.3413642033
38	0.3387933847
39	0.3372651789
40	0.3358999965
41	0.3335931364
42	0.3310676167
43	0.3298257434
44	0.3286678192
45	0.3270203216
46	0.3250133208
47	0.3234421464
48	0.3216843766
49	0.3203400582
50	0.3189984764
51	0.3178074756
52	0.3169180783
53	0.3158173602
54	0.3145520925
55	0.3124420329
56	0.3113118018
57	0.3100186464
58	0.3088970978
59	0.3078704508
60	0.3066971159
61	0.3059555312
62	0.3048810467
63	0.3038309398
64	0.3023653835
65	0.3015109924
66	0.3008971645
67	0.299712423
68	0.2988885588
69	0.2979496297
70	0.2972829049
71	0.2964042734
72	0.2946278365
73	0.293512921
74	0.2924027538
75	0.2914910018
76	0.2906532328
77	0.2899681009
78	0.2891704439
79	0.2885841307
80	0.2876587353
81	0.2866272563
82	0.2858447496
83	0.2852664554
84	0.2838517099
85	0.2832949639
86	0.2826500564
87	0.2815640569
88	0.2809567035
89	0.2802898589
90	0.2794902131
91	0.278520069
92	0.2777878736
93	0.2770290389
94	0.2761605406
95	0.2754325232
96	0.2743011624
97	0.2736188811
98	0.2730067513
99	0.2721479525
100	0.2714691463
101	0.2708209582
102	0.2701280947
103	0.2695259955
104	0.2689177006
105	0.2683568671
106	0.2678122927
107	0.2671828342
108	0.2665678497
109	0.2654684378
110	0.2649747714
111	0.2641784666
112	0.263522005
113	0.2628823197
114	0.2623976642
115	0.2618249054
116	0.2612657582
117	0.2608463129
118	0.2603088685
119	0.2597623218
120	0.2589932242
121	0.2584441691
122	0.2579774213
123	0.257563337
124	0.2570341853
125	0.2565475607
126	0.2560326168
127	0.2550830498
128	0.2546183605
129	0.2541822503
130	0.2536335679
131	0.2533069128
